,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.26152663149025035,5704.43421276651,70115479.57444793,{},8373.498645993079
1,LassoRegression,0.2615268250636521,5704.444535357917,70115461.19532625,"{'alpha': 0.05, 'positive': False, 'random_state': 1337}",8373.497548535275
2,RidgeRegression,0.26152648763254394,5704.410537837598,70115493.23323715,"{'alpha': 0.05, 'random_state': 1337, 'solver': 'sag'}",8373.49946158935
3,ElasticNet,0.2615288581904127,5704.628809030617,70115268.15700701,"{'alpha': 0.001, 'l1_ratio': 0.75, 'positive': False, 'random_state': 1337}",8373.4860217837
