,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.12623468718479136,6439.882505260409,86042882.68572062,{},9275.930286807928
1,LassoRegression,0.12626191628478822,6440.14576351871,86040201.33613817,"{'alpha': 10, 'positive': False, 'random_state': 1337}",9275.785753031285
2,RidgeRegression,0.12623637803473553,6439.959088793898,86042716.18151033,"{'alpha': 0.0001, 'random_state': 1337, 'solver': 'sag'}",9275.921311735581
3,ElasticNet,0.12631612899070377,6440.276805951433,86034862.81167771,"{'alpha': 0.05, 'l1_ratio': 0.75, 'positive': False, 'random_state': 1337}",9275.497981870176
