,model,r2,mae,mse,best_params,rmse
0,LinearRegression,-2.201674557327415e+16,12195436280.795382,2.090413466979805e+24,{},1445826222953.438
1,LassoRegression,0.8518799534119997,2305.3230445783242,14063483.591920614,"{'alpha': 0.01, 'positive': False, 'random_state': 1337}",3750.1311432962734
2,RidgeRegression,0.8518648628298564,2305.408533353664,14064916.390243685,"{'alpha': 0.01, 'random_state': 1337, 'solver': 'auto'}",3750.322171526559
3,ElasticNet,0.8518799534119997,2305.3230445783242,14063483.591920614,"{'alpha': 0.01, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",3750.1311432962734
