,model,r2,mae,mse,best_params,rmse
0,LinearRegression,-2.1352767283901283e+17,45260108185.290436,2.1026854962972984e+25,{},4585504875471.51
1,LassoRegression,0.8619389540232439,2298.133067315734,13595378.768438488,"{'alpha': 0.05, 'positive': False, 'random_state': 1337}",3687.1911760089806
2,RidgeRegression,0.8619521981217318,2297.967787371783,13594074.573369443,"{'alpha': 0.05, 'random_state': 1337, 'solver': 'svd'}",3687.0143169466323
3,ElasticNet,0.8619389540232439,2298.133067315734,13595378.768438488,"{'alpha': 0.05, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",3687.1911760089806
