,model,r2,mae,mse,best_params,rmse
0,LinearRegression,-2.6615300226126587e+18,103969619076.48569,2.5270302477375533e+26,{},15896635643234.557
1,LassoRegression,0.8519864219141075,2303.862006564877,14053374.777705798,"{'alpha': 0.01, 'positive': False, 'random_state': 1337}",3748.783106250053
2,RidgeRegression,0.8519743749499408,2303.9115578758483,14054518.595080912,"{'alpha': 0.01, 'random_state': 1337, 'solver': 'auto'}",3748.935661635301
3,ElasticNet,0.8519864219141075,2303.862006564877,14053374.777705798,"{'alpha': 0.01, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",3748.783106250053
