,model,r2,mae,rmse,best_params
0,LinearRegression,0.9203790310886558,1682.2034981594993,2726.7802645698107,{}
1,LassoRegression,0.9208142692335082,1675.7055066789046,2719.3172487325905,{'alpha': 0.05}
2,RidgeRegression,0.8432346557788062,2565.0804418784096,3826.145164184896,{'alpha': 0.005}
3,ElasticNet,0.8996404213801267,1930.6475074066218,3061.370039084502,"{'alpha': 0.01, 'l1_ratio': 0.9}"
