,model,r2,mae,rmse,best_params,name
0,,0.9171274618526082,1721.5421610711044,2781.9014000993225,{},LinearRegression
1,,0.9170703032932799,1725.5523489424834,2782.8605964227518,{'alpha': 0.2},LassoRegression
2,,0.9121089074411907,1789.987967875372,2864.8958910215956,{'alpha': 0.01},RidgeRegression
3,,0.8945550068496765,2005.7796954235082,3137.9743869506915,"{'alpha': 0.01, 'l1_ratio': 0.9}",ElasticNet
