,model,r2,mae,mse,best_params,rmse
0,LinearRegression,-4.884538358164803e+18,174504584537.41455,4.6376993956281046e+26,{},21535318422600.824
1,LassoRegression,0.8519844104866959,2303.9443349811886,14053565.755747255,"{'alpha': 0.01, 'positive': False, 'random_state': 1337}",3748.80857816817
2,RidgeRegression,0.8519731883430447,2304.009428324063,14054631.259281319,"{'alpha': 0.01, 'random_state': 1337, 'solver': 'saga'}",3748.950687763353
3,ElasticNet,0.8519844104866959,2303.9443349811886,14053565.755747255,"{'alpha': 0.01, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",3748.80857816817
