,model,r2,mae,rmse,best_params
0,LinearRegression,0.9203790310886558,1682.2034981594993,2726.7802645698107,{}
1,LassoRegression,0.9208356579029586,1675.3416564458346,2718.9499697716565,{'alpha': 0.04}
2,RidgeRegression,0.8432351060679675,2565.0132382049137,3826.1396691153627,{'alpha': 0.8}
3,ElasticNet,0.8768728436981066,2165.917742398409,3390.8871583377227,"{'alpha': 0.05, 'l1_ratio': 0.9}"
