,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.7709612230085324,2905.434146810063,21746435.788618095,{},4663.307387318371
1,LassoRegression,0.7709755432439817,2905.464593971525,21745076.132036075,"{'alpha': 0.05, 'positive': False, 'random_state': 1337}",4663.161602607835
2,RidgeRegression,0.7709803867984042,2905.4730684725264,21744616.25337875,"{'alpha': 1, 'random_state': 1337, 'solver': 'svd'}",4663.112292598019
3,ElasticNet,0.7709929420672404,2905.5101379867374,21743424.174242005,"{'alpha': 0.0001, 'l1_ratio': 0.75, 'positive': False, 'random_state': 1337}",4662.98447072709
