,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.7664280113710816,2964.551067341412,22176848.477180928,{},4709.230136357845
1,LassoRegression,0.7664279995759525,2964.551199719038,22176849.59708744,"{'alpha': 0.0001, 'positive': False, 'random_state': 1337}",4709.230255263321
2,RidgeRegression,0.766428009863068,2964.5511209374995,22176848.620361578,"{'alpha': 0.0001, 'random_state': 1337, 'solver': 'auto'}",4709.230151559974
3,ElasticNet,0.7664279995759525,2964.551199719038,22176849.59708744,"{'alpha': 0.0001, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",4709.230255263321
