,model,r2,mae,rmse,best_params
0,LinearRegression,0.904773781070187,1864.1462578529856,2982.0483672840587,{}
1,LassoRegression,0.9213073825457796,1675.4600124706944,2710.837023546335,{'alpha': 0.5}
2,RidgeRegression,0.8296512322857517,2693.60206420258,3988.4661549398743,{'alpha': 0.8}
3,ElasticNet,0.901944981755334,1907.4867073203166,3026.016734091433,"{'alpha': 0.01, 'l1_ratio': 0.9}"
