,model,r2,mae,mse,best_params,rmse
0,LinearRegression,-4.113970236366326e+18,130309021931.9902,3.9060717471766425e+26,{},19763784422970.824
1,LassoRegression,0.85198517570129,2303.831896057666,14053493.101281269,"{'alpha': 0.01, 'positive': False, 'random_state': 1337}",3748.7988878147717
2,RidgeRegression,0.8519725808014365,2303.9058684595084,14054688.943245344,"{'alpha': 0.0001, 'random_state': 1337, 'solver': 'saga'}",3748.958381103389
3,ElasticNet,0.85198517570129,2303.831896057666,14053493.101281269,"{'alpha': 0.01, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",3748.7988878147717
