,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.7665183891657833,2964.7055516038345,22168267.41970667,{},4708.318959002955
1,LassoRegression,0.7665318918391889,2963.235678202398,22166985.387799032,"{'alpha': 0.0001, 'positive': False, 'random_state': 1337}",4708.182811637525
2,RidgeRegression,0.7665314359161366,2963.212441007227,22167028.676108163,"{'alpha': 0.05, 'random_state': 1337, 'solver': 'svd'}",4708.1874087708275
3,ElasticNet,0.7665318918391889,2963.235678202398,22166985.387799032,"{'alpha': 0.0001, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",4708.182811637525
