,model,best_params,r2,mae,rmse
0,LinearRegression,{},0.8627715149157593,2255.9826608951657,3655.071703376594
1,LassoRegression,"{'alpha': 0.2, 'max_iter': 3000, 'random_state': 1337}",0.862695176350672,2258.046122425635,3656.0641404422554
2,RidgeRegression,"{'alpha': 0.2, 'max_iter': 3000, 'random_state': 1337}",0.8619449464017418,2260.4459085975805,3665.970255659461
3,ElasticNet,"{'alpha': 0.2, 'l1_ratio': 0.8, 'max_iter': 3000, 'random_state': 1337}",0.7378380755901677,3231.5568526095844,5052.311176930032
