,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.8542220761266501,2276.2618398206873,13841107.180850679,{},3720.363850599922
1,LassoRegression,0.854238926246319,2276.1897434423777,13839507.320555305,"{'alpha': 0.01, 'positive': False, 'random_state': 1337}",3720.1488304307536
2,RidgeRegression,0.8541539531182663,2277.369373224738,13847575.223716637,"{'alpha': 0.0001, 'random_state': 1337, 'solver': 'sag'}",3721.2330246460833
3,ElasticNet,0.854238926246319,2276.1897434423777,13839507.320555305,"{'alpha': 0.01, 'l1_ratio': 1, 'positive': False, 'random_state': 1337}",3720.1488304307536
