,model,r2,mae,mse,best_params,rmse
0,LinearRegression,0.6332239921381995,3929.586202772377,34824107.11645333,{},5901.195397243962
1,LassoRegression,0.6332226086968155,3929.28349600774,34824238.469404206,"{'alpha': 1, 'positive': False, 'random_state': 1337}",5901.2065265845595
2,RidgeRegression,0.6332015210314451,3929.7894690439025,34826240.66993519,"{'alpha': 10, 'random_state': 1337, 'solver': 'sag'}",5901.376167465957
3,ElasticNet,0.6332160033548324,3928.7358804781184,34824865.62366682,"{'alpha': 0.001, 'l1_ratio': 0.25, 'positive': False, 'random_state': 1337}",5901.259664145175
