,model,r2,mae,rmse,best_params
0,LinearRegression,0.9203790310886558,1682.2034981594993,2726.7802645698107,{}
1,LassoRegression,0.920871659629879,1674.5544633119878,2718.3316482943665,{'alpha': 0.01}
2,RidgeRegression,0.8432351060679675,2565.0132382049137,3826.1396691153627,{'alpha': 0.8}
3,ElasticNet,0.8996404213801267,1930.6475074066218,3061.370039084502,"{'alpha': 0.01, 'l1_ratio': 0.9}"
