,model,accuracy,f1,best_params
0,SVM_NB,0.30766666666666664,0.2692985804245041,"{'C': 1, 'gamma': 10, 'max_iter': 2, 'random_state': 1337}"
1,SVM_NB,0.30766666666666664,0.2692985804245041,"{'C': 1, 'gamma': 10, 'max_iter': 2, 'random_state': 1337}"
2,SVM_NB,0.39266666666666666,0.3563530560601778,"{'C': 1, 'gamma': 15, 'max_iter': 4, 'random_state': 1337}"
3,SVM_NB,0.39266666666666666,0.3563530560601778,"{'C': 1, 'gamma': 15, 'max_iter': 4, 'random_state': 1337}"
4,SVM_NB,0.395,0.36696982248263854,"{'C': 1, 'gamma': 17, 'max_iter': 4, 'random_state': 1337}"
5,SVM_NB,0.42133333333333334,0.3913841512264742,"{'C': 1, 'gamma': 17, 'max_iter': 8, 'random_state': 1337}"
